applicationId,municipality,timeToVerdict,filling-time,operation,start_month,1,2,3,4,5,6,7,8,9,10,11,12
LP-091-2015-00265,091,14.6800042897,6.68586094707,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-106-2015-00372,106,15.5182907151,8.64435433703,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00951,092,15.2478718548,9.8686372751,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-106-2015-00376,106,14.3844603624,12.7677862315,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-837-2015-00040,837,13.8091564131,12.3371623096,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-106-2015-00378,106,14.3845956558,12.7518299902,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-837-2015-00045,837,14.0131229452,6.92264389148,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-837-2015-00046,837,13.6167998294,12.7571290491,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-092-2015-02711,092,13.857841813,10.3387379744,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-092-2015-02241,092,13.0815372162,6.8772960715,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-186-2015-00700,186,15.4507357032,8.29729437027,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-186-2016-00636,186,15.2291931635,13.4221153151,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-01840,092,13.9667077376,13.1197900693,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-092-2016-03140,092,14.2939051345,6.5903010482,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2015-04505,091,14.594332556,12.5025149846,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2015-07437,091,14.3864889746,7.60887062919,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-092-2014-00105,092,10.7141288381,14.1913243796,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2016-02242,092,12.5896669892,6.84374994901,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-01595,091,13.9678418695,7.0656133636,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2015-07439,091,14.3845084814,7.98820359702,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-092-2016-02244,092,12.5943068167,14.4103991665,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-01369,092,13.2335576436,8.08978917579,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-092-2015-01368,092,12.2772670918,7.93487156595,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-837-2016-01305,837,14.176932517,7.41397029019,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-106-2014-00139,106,15.6359138479,11.9588605056,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-106-2014-00136,106,14.3920020047,9.176059438,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-106-2014-00135,106,14.3996109926,11.1072553358,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-091-2015-00055,091,14.1178999457,11.0837873493,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-00054,091,14.5207844123,7.86288203464,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-186-2015-01213,186,13.2442535229,8.61558951327,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2015-00161,092,14.746376947,12.5126893216,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-07525,091,13.5135267008,7.21376830812,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-091-2015-07880,091,13.617756937,8.02780284837,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-837-2016-01151,837,14.2309022343,5.95842469303,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2015-09628,091,14.1123632019,7.20117088328,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2016-01585,092,12.2649969992,13.333635137,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2016-04476,092,13.2490541764,7.97004930498,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-837-2016-00540,837,14.09876886,6.51471269087,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-837-2016-01667,837,14.212937446,12.7815617826,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-837-2015-00092,837,14.2252140049,7.5213179802,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2015-01665,092,14.3941723845,7.322510434,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-837-2016-00406,837,14.750709007,14.0641128673,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-00718,092,13.066510229,9.27509761919,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2015-08437,091,14.7833275171,6.97634807045,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2015-00713,092,15.4039607612,11.1524002611,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-106-2016-00424,106,15.623383013,11.406097206,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2016-01477,092,12.8650035697,11.2849452358,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-01146,092,12.6275882525,7.46965417293,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2015-00764,092,13.9700480201,12.9768658178,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00796,092,13.9687199378,7.04490511713,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-106-2015-00183,106,15.2102865977,12.4599160954,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-106-2015-00455,106,14.2331980014,12.7680713065,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2016-04273,092,13.8285669511,13.5343763348,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-091-2015-04899,091,15.1645154798,14.3553031584,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2016-05197,091,13.9664764575,7.03614849375,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-091-2015-07037,091,14.5219026363,7.26892012819,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-091-2016-02180,091,14.9943169275,11.1687012593,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2015-07039,091,14.5190782559,6.52209279817,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-091-2015-09313,091,13.596757355,13.1586046564,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2015-00239,092,10.5517419642,7.77022320416,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2016-02501,091,15.0889175364,14.4162968054,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2015-02084,092,12.3398821245,7.23201033166,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-091-2015-07139,091,14.7827422822,13.5506826612,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-186-2015-00427,186,13.2212978905,7.15383380158,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00530,092,12.4943370484,14.0064837479,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2016-02476,092,13.8085080979,9.20049203592,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2014-00145,092,12.5530537557,9.96260515702,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-106-2015-00803,106,13.3963445193,8.34283980427,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-092-2016-00431,092,13.0637125564,7.56475701291,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-092-2016-04000,092,13.8949610903,11.3162656042,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-186-2015-01321,186,13.9029031123,11.2533383407,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-837-2016-00782,837,13.7351407135,6.99668148818,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2015-02217,092,13.0871423349,7.1981835771,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2015-02214,092,13.2657153895,6.12686918411,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-091-2016-00404,091,13.9696443805,8.84793475333,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-092-2015-02623,092,13.8826354191,11.5447825949,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2016-03135,092,14.2947953586,7.86211221166,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-837-2016-01641,837,13.7101767086,8.75321348054,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-186-2015-00631,186,13.369198455,6.60258789219,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2016-03137,091,14.8805498617,7.38212436574,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2015-05147,091,14.5194458372,6.72022015514,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2016-00785,091,14.1739029263,13.3090205219,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-00017,091,13.370786296,7.94378269246,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2016-00272,091,14.5236842725,14.7393876406,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-091-2015-00018,091,14.7122045214,8.71980745148,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
