applicationId,filling-time,operation,time-to-verdict
LP-092-2015-00050,3010364.65,pientalo,2638106.779
LP-186-2015-00497,867383.91,pientalo,4604307.997
LP-092-2016-01200,184934.034,pientalo,2263434.381
LP-186-2014-00534,818.806,pientalo,137786.673
LP-092-2016-01208,5521438.617,pientalo,2961354.181
LP-092-2016-01971,3145065.038,pientalo,8910970.744
LP-092-2016-02384,356896.298,pientalo,5018754.29
LP-106-2016-00264,663501.212,pientalo,1952333.328
LP-491-2015-00929,3464509.501,pientalo,1910620.132
LP-491-2015-00922,24478395.989,pientalo,613070.96
LP-106-2015-00145,1994094.711,pientalo,4695954.755
LP-837-2016-00450,1891202.636,pientalo,5591822.494
LP-092-2015-02722,14131.055,pientalo,8065281.699
LP-186-2016-00137,6725907.995,pientalo,1861618.635
LP-092-2015-01753,5522824.028,pientalo,8420751.576
LP-186-2015-00070,1308526.313,pientalo,2026762.313
LP-092-2015-00851,817804.873,pientalo,7146248.63
LP-092-2016-00972,3713.247,pientalo,11798405.985
LP-092-2015-00494,4722.775,pientalo,6018259.195
LP-092-2015-00757,241.547,pientalo,1569511.3
LP-491-2015-01351,1839667.275,pientalo,2345051.198
LP-106-2015-00700,2767215.477,pientalo,916053.807
LP-092-2016-00331,537023.192,pientalo,6786847.292
LP-092-2016-02652,1888809.344,pientalo,1749621.211
LP-186-2015-00675,12116120.646,pientalo,1216960.491
LP-106-2015-00721,8514.182,pientalo,5114760.56
LP-186-2016-00782,833.961,pientalo,5561680.918
LP-092-2015-02231,5940380.569,pientalo,2642311.021
LP-837-2016-00157,3902660.274,pientalo,9976893.207
LP-092-2016-00252,1277213.08,pientalo,7487769.045
LP-092-2015-00475,1167252.842,pientalo,7181285.353
LP-106-2015-01281,2750137.221,pientalo,2370507.327
LP-106-2015-00093,2773.492,pientalo,3918705.571
LP-092-2014-00181,3124785.07,pientalo,1674674.404
LP-186-2015-01370,4549735.416,pientalo,2369636.664
LP-106-2015-00965,2224945.9,pientalo,4205351.283
LP-106-2016-00638,4122974.446,pientalo,5050028.002
LP-106-2015-00360,1832040.01,pientalo,3748835.788
LP-092-2015-00584,5793.506,pientalo,9516816.439
LP-837-2015-00038,16753.679,pientalo,4964537.488
LP-092-2015-00589,850625.908,pientalo,5814090.007
LP-092-2016-00753,117011.83,pientalo,14629274.169
LP-186-2016-00148,5271786.529,pientalo,1777323.199
LP-092-2015-02701,4843355.883,pientalo,3664939.606
LP-186-2015-00474,428899.448,pientalo,3411213.297
LP-092-2015-00402,2369777.615,pientalo,4938724.764
LP-092-2015-00409,1630277.968,pientalo,5663241.527
LP-106-2016-00196,2131125.17,pientalo,3672045.21
LP-092-2016-00566,2077549.595,pientalo,5808397.02
LP-092-2016-00600,17083.639,pientalo,6698172.977
LP-092-2015-00107,4483605.163,pientalo,4519697.43
LP-491-2016-00661,2129746.519,pientalo,1860353.266
LP-106-2015-00840,4248724.234,pientalo,798119.055
LP-837-2015-00145,4675987.7,pientalo,8594689.436
LP-092-2015-02776,5586323.027,pientalo,5222486.852
LP-092-2015-02670,4223728.476,pientalo,16466975.13
LP-092-2016-00056,947225.719,pientalo,5578498.568
LP-837-2016-00933,153943.804,pientalo,5387504.028
LP-092-2016-02428,10661.481,pientalo,697674.511
LP-092-2016-02780,2481485.932,pientalo,6613376.081
LP-186-2015-00604,170740.384,pientalo,5480981.474
LP-186-2016-00354,754.624,pientalo,2982069.569
LP-491-2015-00805,2819.171,pientalo,4848064.412
LP-186-2015-01194,10133193.234,pientalo,4167651.001
LP-106-2015-00101,126522.491,pientalo,7235643.469
LP-092-2015-01384,161572.578,pientalo,17925661.295
LP-106-2015-00835,5197.693,pientalo,4351010.719
LP-491-2014-00552,5609454.678,pientalo,1655039.561
LP-837-2016-01000,8461.97,pientalo,9720911.311
LP-491-2015-01003,638583.809,pientalo,2485559.162
LP-106-2016-00222,367619.011,pientalo,2541011.982
LP-092-2015-02458,4546173.793,pientalo,1794323.334
LP-092-2015-01498,9579555.63,pientalo,10999859.118
LP-491-2015-01224,257455.379,pientalo,985421.49
LP-186-2015-00507,1962020.335,pientalo,4620859.868
LP-092-2016-01413,4880.415,pientalo,6613914.886
LP-186-2015-01110,3553187.204,pientalo,1680115.661
LP-092-2015-01122,1995667.168,pientalo,3412220.036
LP-092-2016-02849,10411.256,pientalo,5201383.791
LP-092-2015-00702,8824.93,pientalo,12313664.875
LP-092-2016-01419,6565976.01,pientalo,7220019.621
LP-092-2015-01797,1248866.069,pientalo,4756581.444
LP-092-2015-00704,10905866.29,pientalo,7455648.307
LP-092-2015-01155,1125854.402,pientalo,6005778.894
LP-092-2015-00012,3697456.201,pientalo,9898990.628
LP-092-2015-01153,563619.782,pientalo,11935245.406
LP-106-2015-00424,243930.019,pientalo,2565851.095
LP-491-2015-00244,1214386.569,pientalo,3568026.239
LP-106-2015-00039,5101740.665,pientalo,565899.711
LP-106-2015-00030,7876531.555,pientalo,1512645.017
LP-106-2015-00036,76382.083,pientalo,5148817.832
LP-092-2016-01527,678354.735,pientalo,3422195.325
LP-092-2015-00896,2463216.972,pientalo,6362976.116
LP-092-2015-01725,1122137.909,pientalo,7303658.219
LP-186-2015-00001,1893917.191,pientalo,1083739.154
LP-092-2015-01836,2873675.021,pientalo,6939961.217
LP-092-2016-03846,971724.808,pientalo,3309822.69
LP-092-2015-00202,1130.854,pientalo,559472.586
LP-092-2015-00200,551436.396,pientalo,9190201.6
LP-092-2015-02865,2853281.738,pientalo,4788420.014
LP-092-2015-00209,26.053,pientalo,6606861.818
LP-092-2015-00051,73961.925,pientalo,6445941.224
LP-106-2016-00003,1831280.252,pientalo,3309199.292
LP-092-2016-00306,140132.558,pientalo,6618584.089
LP-092-2016-00302,4434.361,pientalo,6168139.692
LP-092-2016-00466,1731427.357,pientalo,8011051.634
LP-186-2016-00067,16003.026,pientalo,19378597.294
LP-837-2016-00141,1566647.332,pientalo,5134787.99
LP-092-2014-00158,3092885.86,pientalo,5409386.619
LP-092-2014-00150,863245.158,pientalo,8761139.116
LP-092-2015-02187,3813660.696,pientalo,14461198.185
LP-092-2016-00529,156819.355,pientalo,9034944.057
LP-837-2016-00144,3976666.817,pientalo,9977021.994
LP-092-2016-00419,520856.256,pientalo,5408661.959
LP-106-2015-00559,5315581.949,pientalo,2041983.802
LP-106-2015-00922,2251538.643,pientalo,4354609.616
LP-092-2015-02220,3470285.604,pientalo,1759523.903
LP-092-2016-01028,4316040.387,pientalo,3158885.74
LP-106-2015-01089,174446.93,pientalo,5568418.103
LP-092-2016-01021,613722.101,pientalo,6786097.38
LP-092-2016-02111,1797588.232,pientalo,2044142.693
LP-092-2016-00996,721244.455,pientalo,7439047.381
